time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-26 00:00:00+00:00,9,1,,
2023-01-27 00:00:00+00:00,1,1,,
2023-01-28 00:00:00+00:00,1,1,,
2023-01-29 00:00:00+00:00,1,1,,
2023-01-30 00:00:00+00:00,1,1,,
